N,Tweet,Negative,Neutral,Positive
2228,se le extraña en Sinaproc 😔,1,,
2229,"Ojo que llaman a la Gobernadora, no al Alcalde... 😎🔥",,,1
2230,"Las personas no ven las cosas con luces largas, se dejan llevar de la diputada gritona y sus compinches...",,1,
2231,Ella no tiene derecho al acceso a la justicia?🤔,,1,
2232,En veldad ayer la calle estaba tiempo de quincen,,1,
2233,"Y este post nos ayuda en medio de la crisis de que manera?????? Wao, que alcalde más inepto y desconectado de la realidad tenemos.",1,,
2234,La imagen habla por si sola.,,1,
2235,Eso pasaría en un país serio...,,1,
2236,"Traqui, no ha pasado nada. Se reversa la transacción y listo. A cualquiera le pasa 😊😊",,,1
2237,Sii y lo mas triste es que nunca escuche 🤣,,1,
2238,perfecto. espero sean obediente a lo que el Todopoderoso va a hablar. en el 2005 hablo y no obedeciero,,1,
2239,Cuadros de mando de seguridad de alto impacto,,1,
2240,Guantear a la mujer y violar la libertad de expresión.,1,,
2241,Denúncialo en la acodeco para que te devuelva el dinero.,1,,
2242,"ahora mismo que estoy en una clínica, estoy pensando seriamente trabajar bien duro, por mi seguro privado y por el de mi papá 🙂 porque que va, esta es la que no va madrugar por una cita.",1,,
2243,"Cada quien debe rendir cuentas por sus actos. Si es o no justicia, ya esa es una opinión suya personal.",1,,
2244,Me huele a que el otro año no hay carnavales,1,,
2245,Mañana demanda al medio por andar dañando su reputación...,1,,
2246,"Ese crucero del alcalde, era de trabajo, andaba viendo playas, para tomar ideas...no sean así. 🤭",,,1
2247,Ese parque se daño desde que los Gaitanes instaló la rebusca de Fabregas...,,1,
2248,Hasta las empresas privadas tienen la suya,,1,
2249,El SPA debe sustituir la medidas de detención provisional que se estén aplicando en estos momentos... 👍,,1,
2250,FocopMENTE - Semáforos y Corrupción por,1,,
2251,Toy termido series que dan miedo,,1,
2252,Para qué los periodistas necesitan saber quiénes son las personas con coronavirus Una y otra vez preguntan.,,1,
2253,Bueno pues. Todos tenemos baggage. I still think you're a catch.,,1,
2254,JAJAJJA ya quiero ver a mis sobris asi pero lo veo lejisimos 🤣😩,,,1
2255,organízate la posada para cantarle villancicos 🤭,,,1
2256,POR FAVOR ESTOY DESDE AYER INTENTANDO SABER MI SALDO de telefono para pagar y es imposible tener informacion NI POR 161 NI *261# ni whassap en whassap me envian un documento de pago y no me dicen SALDO AUXILIOOOOOOOOO,1,,
2257,Jajajajajajaj pero ahi estamos ya,,1,
2258,Mi abuela paterna me enseñó que le ponías piedra de río de la que se usa para majar los guisos cuando los sanvochabas y se ablandaban.,,1,
2259,Que tu eres la musa detras de mi lapiz 🎼,,,1
2260,"Que todas las abuelitas sean eternas, amén 🙏🏼♥️",,,1
2261,Barreiro (hijo de la Rosa de Guadalupe)...,,1,
2262,Cabriaos porque Nito les quitó la chequera de los bonos 😂🤣,,,1
2263,No fue esta la empresa que en el principio de la pandemia no quería dejar salir a sus trabajadores y donde se contagiaron algunos y murieron?,,1,
2264,Hacer turismo interno es demasiado caro. El precio de los hoteles y los tours son excesivos.,,1,
2265,No he echo nada positivo en la cuarentena,1,,
2266,"El 2019 nunca quiso irse. Antes de finalizar el 31 de diciembre de 2019, nos dejó este virus conocido como COVID19. Para así darle a conocer que quien tiene la culpa es el 2020. Pero no es el 2020 el culpable, es el Ser humano por no hacer el bien. Ahora 5 continentes afectados",1,,
2267,Que ganas de ir a la playa,,,1
2268,"Chuzo brother, estás tarde!!!",,1,
2269,a quien un chucha de su madre no le ha roto el corazón? 🤣 lo más satisfactorio es que luego no sientes nada 😍,,,1
2270,"¿Saben lo triste de todo esto? Que ayer solamente escuché una noticia de un señor que violó a su propia hija de 15 años, y no ví una nota de esa organización.",1,,
2271,Concuerdo con referencia a la derogacion del Decreto. El Defensor debe recomendarle al Sr. Presidente que lo considere.,,1,
2272,Ese parque se daño desde que los Gaitanes instaló la rebusca de Fabregas...,,1,
2273,el mismo mechi terrror.. 😫😂😍😍😍😍,,,1
2274,El que se mete a buscar cosas que no debe se entera de cosas que no quiere...,1,,
2275,Literal odio todo de este maldito tweet.,1,,
2276,Se están comiendo la piñata entera y todas las burundangas. Y no se lle.,,1,
2277,Cuanto cuestan los asesores en el MIDA INCLUYENDO AL QUE YA NO ESTA EN EL MOP Y CUANTO CUESTA Y QUE HACE,,1,
2278,"no entiendo porque son tan cochinos, man todo lo que se mueve No te lo puedes comer... Me estresan!!!! son muy inteligentes y lo demas, pero se pasan.",1,,
2279,Que se vaya a su casa a dormir,1,,
2280,De seguro vienen. Igual quedará 👌👌,,,1
2281,yo tambien chao que los vi..,,1,
2282,PARTE DEL PROBLEMA ES ÑA ACUMULACION DE EL MATERIAL ACUMULADO DURANTE LOS TRABAJOS Y QUE LAVO LA LLUVIA Y CALLERON A LOS TRAGANTES DEBEN ESTAR LLENOS DE MATERIAL PETREO,1,,
2283,"Nito cortizo, con mención especial a todos sus subalternos, órgano judicial y legislativo",,1,
2284,Carta a la población Panameña.,,1,
2285,Ýa fue enviado en directo gracias,,1,
2286,"Pensé que jamás acabaría y me uno a mi amiguita del alma y sí TODO PASA, las tormentas se acaban los semestres termi, ahora veo a la yo que lloró este semestre y le digo TERMINASTE, LO LOGRASTE y sabes MANTUVISTE TU INDICE, sigue así estoy orgullosa de tí ♥️",,,1
2287,"Hola acabo de encontrarme con tus videos, admiro ese talento que Dios te a dado, me sorprende la agilidad mental con la que manejas la rima e improvisación. No pierdas la humildad y no renuncies a tus metas, saludos desde Panamá...🇵🇦",,,1
2288,"Ya lo destituí Señor Presidente, me avisa por esta vía qué más quiere que haga.",,1,
2289,"Comparto esta posición, que es más relevante, la cobertura del virus y la batalla que tenemos con él o disque vamos a hacer que el pueblo se relaje... Después de esta crisis pensemos en cambiar de dirigentes y cuerpo técnico.",,1,
2290,"No, pero no dormiré corrido hasta la mañana, sera como una siesta rara",,1,
2291,Debes de darte una vuelta por allá y destruirlo como lo hiciste con calle Uruguay...,1,,
2292,"Que mal pensados son, el presidente es un VISIONARIO y está pensando cuando el niño crezca... 🤭",,,1
2293," Tiene la boca llena, no dice nada.",,1,
2294,¿Será por la vergüenza que siente cuando viene su hermana de la Florida? ¿O porque todos los recursos que tiene son de dudosa procedencia?,,1,
2295,Barreiro (hijo de la Rosa de Guadalupe)...,,1,
2296,"Chuzo, se hubiera robado el barco, el agua y los marineros 😂😂😂😂",,,1
2297,Berlín riéndose de ti porque pensabas que estaba vivo #LaCasaDePapel3,,,1
2298,Febrero paso que ni cuenta me di 🤭,,,1
2299,#NAME?,,1,
2300,"yo tampoco, la pela quiere presumir que se va graduar ombe 🙄🙄",1,,
2301,"Ey, por si acaso, no estoy particularmente a favor o en contra de esta segunda cuarenta. Lo que estoy en contra es que alguien que no haya respetado la cuarentena original este abogando para que se salga ya para que se puede ir a ver con su sugar baby. Eso sí no.",,1,
2302,Mi primo se casó con una Karen and I just can't with her. La borre de FB hace años pero anda desatada desde hace rato y me llegan sus post. Uuugghh 😐😐,1,,
2303,"todos mienten, pero yo también seré diferente",,1,
2304,"Me duele porque yo no tomo, asi que chao.. no voy",,1,
2305,Cuales son las series que hay qe ver socio,,1,
2306,"Investiguen quién es el representante de un corregimiento de arraijan, esposo de una tipiquera muy famosa y querida por Panamá, que también necesita movilización....",,1,
2307,ASCO .ESTO ES OTRA MUESTRA DE LO QUE ES LA ASAMBLEA HOY EN DIA.POBRE DE MI PAIS.,1,,
2308,"Me da risa esas personas que pertenecen a X"" movimiento por moda y no tienen buenos argumentos""",1,,
2309,Cuidado te amenaza con demandarte igual que a mi jaja,,1,
2310,No sabes si esperar un bus o hacer el trámite de renovación de cédula.,,1,
2311,Bueno hay gente que se las toma con coca cola 💁‍♂️,,1,
2312,Manso póster!!! Pero no te dirán nada... Allí no hay REBUSCA... Que pena.,1,,
2313,Difiero contigo Ruben y el compa tambien del programa de Poveda?,,1,
2314,"Si vamos a hacer la publicidad, hagámosla bien 😊",,,1
2315,HOLA COMO ESTAS TIEMPO SIN SABER DE TI MIS RESPETOS A TI Y Y DAYSI MAE GMO SAMUDIO BENITEZ SEGUNDA VEZ QUE TRATO DE CONTACTARTE DISCULPA,,1,
2316,Literal un abogado usando un salvoconducto para ir a cualquier hora a hacer un trade. Uuugh.,,1,
2317,"No servirá ya que el problema no esta en las cárceles, el problema está en la rebelión de todos. Mientras no se obedezca lo que Dios está demandando de la nación las cosas irán de mal en peor.",1,,
2318,Esa señora contagio de COVID19 a medio Merca 😐,1,,
2319,2 q 3 de mis compañeros!!! Y de awebaos van y le preguntan al paciente con esa terminología 🙄🙄 RIDICULOS,1,,
2320,Todo tiene su tiempo debajo del sol,,1,
2321,Gente que prefiere vivir un infierno con tal de que sepan lo que viven,,1,
2322,"Si cambiamos,Pero de novias, amigas y amantes.🙄🙄🙄🤣🤣🤣",,,1
2323,man hoy me regreso pa panamá bien daña con mi mono.,,,1
2324,Nuevamente sin fluido electrico veracruz y chumical desde hace hora y media AUXILIOOOOO,1,,
2325,entreenn al live de ULPIANO chuchaa 💃🏻😫🥺 necesito un baile,1,,
2326,Se le nota hasta camido 😹,,,1
2327,"Gracias a Dios, la pandemia trajo buenas noticias sobre la salida de este DT, nunca entendió el fútbol panameño y al jugador... 🙏👍🇵🇦",,,1
2328,organízate la posada para cantarle villancicos 🤭,,,1
2329,"Acertado tu tweet con estos últimos casos de violencia contra la MUJER las cuales, por MIEDO, no se atreven a colocar las denuncias pertinentes antes las autoridades.",,1,
2330,"me quedo con DAKITI y ya, byes!",,1,
2331,"Uff que me dices de los duro dolares o cuando compró Cadillacs, entre otros...y si, recuerdo esos, pero no tenía noción con mis 810 años que tenía...",,1,
2332,Gracias  por construir el hub.,,,1
2333,Si crees que puedes ya estas a medio camino de hacerlo,,1,
2334,si ven que un hombre rompe el silenciioooo es porque es muy grande su condena 😫💃🏻💃🏻💃🏻,1,,
2335,"Que bien, ahora a RETOMAR EL TRABAJO del antiguo gobernador 🤭",,,1
2336,"Mi solidaridad con tu conciencia, la cual vendiste al mejor postor.",,1,
2337,"Wao, de ente cuestionador a gaceta oficial...",,1,
2338,"Exacto, cárcel para TODOS los que recibieron dinero de Odebretch, incluyendo a los príncipes y al rey 👀",1,,
2339,"Considero que ha tomado una decisión incorrecta, los muertos no resucitan son miles de familias que están sufriendo por las muerte de su familiares torturados por un Dictador que se creeun Dios, elegiste el camino equivocado, el pueblo sufrido no te perdona.",1,,
2340,Qué ganas de mandar a cierta persona al espacio exterior alv.,,1,
2341,"Que Foco sea Movin, no quita las mierdas de este gobierno. Bai.",,1,
2342,"Yo verificaria las cuentas de estos seudos religiosos, recuerden el caso Cosca... 🤷‍♂️",,1,
2343,"Muchos dicen que me a mi mamá y otros a mi papá, pero yo pienso que tengo poquito de ambos",,1,
2344,"Investiguen quién es el representante de un corregimiento de arraijan, esposo de una tipiquera muy famosa y querida por Panamá, que también necesita movilización....",1,,
2345,Ayala!! ¿Y ahora quien va a presentar La Previa? 😅,,,1
2346,"La combinación de torpeza, mascarilla y anteojos me convierte en alguien muy peligroso para la sociedad 🤣",,,1
2347,Cuales son las compañias beneficiadas con estos contratos favor la informacion completa Gracias,,1,
2348,Es hora de buscar de Dios. Sin El nada somos,,1,
2349,0 ganas de ir a dar Neuro mañana🙃,,1,
2350,mi a entra al cuarto disque lurita ya es hora de almuerzo párese 😹😹😹 son las 10:26 am 🤣,,,1
2351,Amigos de ¿ya explicarán ese fuerte olor a gas o seguirán tapándolo?,,1,
2352,Al Capone mirándote decepcionado de ver cómo tu negocio de contrabando no duro ni un mes ...,,1,
2353,Flor le debe de pasar el dato de como cambiar de vestuario a los cantantes para que ahorren tiempo en sus conciertos. 🤣🤣,,,1
2354,"esto es toxicidad, NADIE VIVE DE AMOR.",,,1
2355,Gracias. No se necesita de una ley para estar del lado correcto de la historia.,1,,
2356,After es de los mejores libros que he leído... y aún no lo termino,,,1
2357,"Los único estacionamiento que respeto son los de los discapacitados. Como dice mi mamá, un embarazo no es una enfermedad. Además si estás pasando por una mala barriga, ¿Qué haces en un mall camido (ni siquiera en un hospital... ?",1,,
2358,"JAJAJAJA ete estaba parquiando y un man borracho me dijo disque mirame a la cara luris, tu ahora mismo por mi estuvieras dando a luz 😫😂😂😂😂😂😂😂😂😂😂😂😂",,,1
2359,Recuerdo la lucha de Anibal con el Ídolo. Y la llave que le aplicó el Ídolo que dejó a Anibal que no podía pararce y caminar... 🙏,,,1
2360,"Excelente presidente , ahora a destituir a la señora indolente administradora de la lotería.",,1,
2361,Este aburrimiento de los domingos siempre es una tortura,,1,
2362,"Con el respeto que se merece la ministra, ella es hermosa 😍",,,1
2363,Seria cool que Paul y Delany perdieran todos sus followers :)),,,1
2364,¿Tanque de gas no es al que le dicen MOJÓN Beach ahora?,1,,
2365," Ahora misml estamos en ensayo y error, excelente iniciativa.",,1,
2366,mi primera tarea terminada que estres ☹️,1,,
2367,tres dias esperando para reparacion de bomba de bombeo hacia majagual y chumical de Veracruz y no se presentan.por Dios estamos sin agua desde hace una semana,1,,
2368,Aprovechen los servicios digitales de para salirse del PRD desde la comodidad de su casa.,,1,
2369,"Sip, eso. Por eso no fue el rant y solo el Sigh. Hahahha",,1,
2370,Definitivamente necesito cada una de estas cosas en mi vida😂😂😭,,,1
2371,"Exacto, él más que nadie, paciente de riesgo por su condición de salud y edad es el primero que debe hacer una carta de autorización para que un 3ro le haga su trámite urgente de vida o muerte en CO.",,1,
2372,"Al final termina yendo hasta el perrito del que limpia, eso es puro show CABREAN",,1,
2373,Cien por ciento de acuerdo .,,1,
2374,"¿El Hatillo, después de 12 meses sigue con ese tipo de excusas para justificar su ineptitud?",1,,
2375,"Eso fue una recomendación es decir no tiene fuerza judicial, eso debe ir al tribunal internacional, en caso que Panamá las ignore y ahí se da la orden como sucede en los casos ante los sistemas de la OEA. Igual las supuestas víctimas tienen derecho a escalar esas vías.",1,,
2376,El ministro que aprendió de su padre (codepadi) que se puede hacer del clientelismo un estilo de vida....,1,,
2377,"Buenos días a todos, incluyendo a quienes se atrevan a no hablar por un rato de coronavirus",,1,
2378,Ahí si todos esos ladrones calladitos ...,,1,
2379,¿Cuál de los dos hijos es ese? 🤣,,,1
2380,JEJEJEEJEJJE X2 🥴😏😏😏😏 campeonas invictas😹,,,1
2381,"amix esque ya te acostumbraste. prueba hacer ejercicio que te saque la mugre como en la tarde, en la noche te va dar sueño temprano.",,1,
2382,A mi me encanta ver a Lady Gaga con Bradley Cooper 😍😍😍🥺,,,1
2383,Ahí si todos esos ladrones calladitos ...,1,,
2384,"Ahora le queda al decretar multas por ese tipo de conductas, sino los irresponsables dañan los espacios públicos que tanto nos costó.",1,,
2385,¿Y quien sanciona al cabeza de puerco por ladrón?,1,,
2386,ÁSCO que asco da cada dia ver esta corrupcion t NADIE DICE NADA DE LOS QUE SON RESPONSABLES DE PAGAR ESTAS PLANILLAS.ASCO.QUE VERGUENZA COMO PRD PRD FUNDADOR .ESTO NO ES TORRIJISMO SEÑORES PANAMA .PERDON PERDON PERDON.,1,,
2387,"Se bloquea la tarjeta de metrobus. peeeero,no los pasaportes diplomáticos, ni el permiso de vuelo.",,1,
2388,Tu sabes como es el 🙄 yo por mi fuera,,1,
2389,Saúl y Genaro en estos momentos con el fondo de los trabajadores...,,1,
2390,"Aclaren si eso es en vivo, porque de ser así, están violando la cuarentena. La iglesia sea católica o evangélica no tiene patente de corso ni está por encima de la Ley...",1,,
2391,Hoy en el día de la madre ✨✨ Les contaré la historia de Demeter y su hija Perséfone 👁👄👁,,,1
2392,"Hay MUCHAS lecciones, además de esa, que vamos a aprender estimado Alfonso.",,1,
2393,Seguimos fortaleciendo la cooperación bilateral en #Educación entre China y Panamá 🇨🇳🇵🇦,,1,
2394,Jajaja nadie estudio pa derecho romano,,1,
2395,"Excelente 👏 este hecho notorio; INACEPTABLE Y CONDENADO A LA NULIDAD, ensucia la imagen de",,,1
2396,Tu lowkey racism es bien.. desagradable. :/,1,,
2397,"En Panamá debemos enseñarle a las personas que si “te sientes mal hace rato” NO TIENES QUE IR A UN CUARTO DE URGENCIAS DE UN HOSPITAL DE 2do (Vigia, Cecilio, Chicho, etc) y 3er (Santo Tomas) NIVEL!! Tienes que ir a un Centro de Salud, Policlínica o MinsaCapsi.... *abro hilo*",,1,
2398,"Así puede conseguir trabajo fácil cuando salga de la asamblea, chill",,1,
2399,Nadie quiere ver a sus hijos presos. Quien metió a esos muchachos en esas aventuras ?,,,1
2400,"Puso la denuncia ante ? Si la respuesta es no, corra a ponerla, y si es un sí dele seguimiento. El caso que se ventilo y se hizo notorio fue el de el periodista Cajar. Pero todos tenemos los mismo Derechos.",1,,
2401,"  1 año después, ya habemos muchos extrañando su gestión!",,1,
2402,ASI MISMITO ES! estamos disque preparados y somos los primeros en Centroamérica cpn muerte x #COVIDー19,1,,
2403,jajajaja ni asi me arrepiento de mis carnavales 2k20 🤣🤣😂,,,1
2404,"Señor boca floja, hágase el antidoping 🤣",,,1
2405,"_ Creo que antes eran más fucked up, los manes ponían y quitaban presidentes 😂",,,1
2406,"Ay madre, la pregunta del Profesor Escobar.",,1,
2407,a veces para sonreir hay que llorar,,1,
2408,🤡🤡🤡🤡 si tu Dios necesita riqueza capaz necesitas un nuevo dios.,1,,
2409,"El gobierno dice que no, peor los proveedores ya han entregado respiradores.",1,,
2410,Mood: Ver el microondas recalentar el jamón mientras tomo un poco de ron ponche,,,1
2411,Perdon don no habia prestado atencion pero muchas grasias,,,1
2412,Hasta Arraijan se escuchó el ver..zo 😂,,,1
2413,"pero realmente sola, y agusto conmigo misma.",,,1
2414,De esta manera se encuentra el aeropuerto de tocumen con la Pandemia,,1,
2415,Las atención de estas misses de la clinica privada a sido fatalasa 🙄🙄🙄,1,,
2416,Esas son las mamas que se necesitan que te hablen la claridad sin tanta webason. Duro y al hueso 💪,,1,
2417,Y van a cerrar los casinos? Perdonen pero es lo que más miedo me dá.,,1,
2418,"“Quien quiera derrocar la libertad de una nación, debe comenzar por reprimir la libertad de expresión” Benjamin Franklin.",1,,
2419,Pensaba que lo del toro era por los cachos 🤭,,1,
2420,"Es momento para que las Iglesias se solidaricen con los que no tienen alimentos y artículos de primera necesidad, compartan los dineros que reciben a través de diezmos y ofrendas, sea Católica o Evangélica... Tuve hambre y me diste de comer... 🙏🙏🙏",,1,
2421,"Ok... Ahora otra pregunta ese puerto es privado, publico o mixto?",,1,
2422,Eso si me ha puesto triste. Pero es lo mejor Sr. Presidente.,1,,
2423,"Yo siendo puesto en mi lugar con tu tweet al punto, directo y 100% correcto.",,1,
2424,SERA QUE EL ALCALDE LLEVARA LA PLAYA HASTA EL PARQUE EL QUE NOS EXTRAÑARÍA??,,1,
2425,Yo: good morning ma Mom: tienes q afeitarte😁,,,1
2426,Lily Collins a través de los años.,,1,
2427,Que se quede en gringolandia,1,,
2428,Ser tu mismo con una persona es uno de los mejores placeres de la vida,,,1
2429,Ese diputado va a llegar LEJOS!!,,,1
2430,Creo que deberías ir a terapia si eres zurda. Hay maneras de corregir esas desviaciones.,,1,
2431,tiene una policía ecológica.,,1,
2432,"Una cosa es que te quejes de que alguien está fumando (ok, boomer) pero otra es que incluyas que son extranjeros. No suma nada a tu queja"" más que solo seguir con la idea de los extranjeros son malos.""",,1,
2433,Quítenle el certificado de operaciones también!!,1,,
2434,no entiendo a los hombres la verdad y mucho menos que tienen en la cabeza esos que comentaron 🤦🏻‍♀️🤦🏻‍♀️,1,,
2435,No estoy acostumbrado decirle mami a las mujeres 🤦‍♂️,1,,
2436,Bien quee looooo... asi que lúzcanse rikitas..,,,1
2437,Gracias Boza por distraernos un rato. Back to PRD ... malditos ladrones,,,1
2438,Ay papa! Eso es bompiri - bompiri,,,1
2439,Gracias a mi mejor versión (myson) adicto al manga,,1,
2440,Eso no es asi... en comparación con los otros somos bien unidos 🙄🙄,1,,
2441,Cerraron las playas y no los casinos,1,,
2442,"super enfocado en su carrera universitaria... esta estudiando licenciatura en matemática, man le encanta las matemáticas mor, y me di cuenta de que el que quiere se verdad, puede... el muchacho también me dijo que lo molestan (sus amigos ignorantes... como siempre)",,,1
2443,No sé pa que arroban a Nito si ese man ni se sabe la contraseña de su twitter,,1,
2444,Qué les parece que hagan esto en toda la entrada de Chitré? Al mejor estilo Hollywood.,,,1
2445,"Que Diosito me de vida para seguir junto a el, unos mil años más ♥️🙏🏼 TE AMO INFINITO LAB💕",,,1
2446,QUE COJONESSSS TENÍA QUE ABRAZAR A SU ESPOSA Y NO DAÑAR EL DULCE. Cha en verdad los hombres son una vaina loca,,1,
2447,De la nada me dieron ganas de ir a tirar unos pasitos. Y eso me recordehace mil años. ❤😂,,,1
2448,Cada vez que transmiten pierden los Yankees 🤣🤣🤣,,,1
2449,El MINSA va anunciar hoy que TERRAMODA TIENE EMBARGADA A ECOMODA...,,1,
2450,"Veo lo hermoso del cielo y digo q hay algo tan grande q creo tanta belleza, recojo los pedazos y solo doy gracias!! and I keep moving",,,1
2451,"Si, vamos a esperar que dicen las autoridades.",,1,
2452,Si votaste por Nito de verdad quiero que sepas que pienso menos de ti.,,1,
2453,Vainas de viejo o vainas de cuarentena?: Me emocioné porque llego la aspiradora que compré. Llevo desde día dos de la cuarentena sin aspiradora porque se dañó.,1,,
2454,"Esa noticia tan esperada me la acaban de dar, amo comenzar los lunes de esta manera, Buena Vibra para todos 😘",,,1
2455,Va a ser el primer APP que te grita sin sentido cada vez que quieres tramitar algo.,,1,
2456,"Pregunto por qué queremos que aquí en Panamá vengan todas esas organizaciones internacionales a decirnos cómo debemos dirigir nuestro País, será que no somo capaces, no lo creo.... 👍",,1,
2457,Imagina que te armas de valor y lo denuncias por todo lo que describes... Imagina que las personas no tengan que privarse porque un subnormal no sabe comportarse en sociedad.... Imagina.....,1,,
2458,"A veces una solita se autodestruye, ¿no? #QueBarbaridad #AquiViendoLaEntrevista #TaOdida",,1,
2459,"Chuzo brother, que triste... Ojalá que no sea lo que estoy pensando.",,1,
2460,Sonrian y aprendan que la vida es una sola.,,,1
2461,Ellos están fuera de orden. Ya esa gente fueron puesta a ordenes del sistema penal acusatorio. Porque no resolvieron y por qué fueron a buscar ayuda?. Ya eso sería venganza.,,1,
2462,"Pórtense bien, para que nos concedan nuestros derechos constitucionales y humanos",,1,
2463,"Usted está en Panamá, no en la India y aquí se le respeta, tiene los mismos derechos que los hombres. Usted es valiente 👏👏👏👏",,,1
2464,Y no podria ser este con. MÓDULOS REALMENTE NUEVOS POR FAVOR Y QUE SE PAGUE REALMENTE LO QUE VALEN POOOOR FAVOOOOR,,1,
2465,"Extraño mi rutina, pero NO los tanques 🤣",,,1
2466,Ey don walter fuera bueno poder descargar sus programas para verlos mientras boy en el bus,,1,
2467,man me pullaron 😩 tenia tiempo que me sacaran sangre.,1,,
2468,Ugh no estoy mentalmente preparada para vivir una pandemia Y UNA DICTADURA AL MISMO TIEMPO-,1,,
2469,Un audio más real para el video de la Contraloría...,,1,
2470,"Esta son las cosas que crítico, se habla de intereses especificos, hable sin ambajes y diga quienes son esos diputados y cuáles son esos intereses específicos... 🤷‍♂️",,1,
2471,"Este año me quedé en casa, pero era como si estuviese en el Parque Porras por tus stories 🤣",,,1
2472,El MINSA va anunciar hoy que TERRAMODA TIENE EMBARGADA A ECOMODA...,,1,
2473,"No lo quiero, lo necesito 😍😍😍😍",,,1
2474,Me dio buko cringe leer esos tweets 😂,,1,
2475,"Y entonces cuando uno opina, resulta que el señor te escribe al privado porque no aguanta las críticas.",,1,
2476,"Disculpe mi ignorancia sobre el tema, pero q tiene q ver esta atrocidad de esos fanáticos BLM con el voto latino? Por cierto antes y ahora ninguna de esas acciones tienen lógica",1,,
2477,Hasta las empresas privadas tienen la suya,,1,
2478,"Jaja ofi!! Se supone que me debería sentir ofendido, pero cool.",,1,
2479,"Sello Rojo, buenísimo... En Super Carnes B/.4.77 lb",,1,
2480,Tu eres a las 5.. otro grupo es a las 2 o.o,,1,
2481,"Extraño mi rutina, pero NO los tanques 🤣",,,1
2482,Y agárrate para el 2024 con el RM/CD y su combo....vienen a robarse lo que falta.,1,,
2483,Es momento de separar diferencias y unirnos!,,,1
2484,Es lo más fácil de aprender,,1,
2485,"YO PAGO IMPUESTOS POR ENDE PAGO TU SALARIO DE DIPUTADO. TE LO GANAS HONORABLEMENTE TU Y LOS OTROS ""hONORABLES "" minúsculas.""",1,,
2486,Ah los millonarios si es verdad q paguen sus obligaciones. Sip,1,,
2487,La playa lo tiene lento....,,1,
2488,"Sencillo, no lo compres y ya. Los he visto a $1.50 (que está caro también) en los semáforos.",,1,
2489,La luz al final del túnel...,,1,
2490,No es lo mucho que hagan es lo mucho que se obedezca todos los administradores anteriores han hecho y no han obedecido y las cosas empeoran es tiempo de obedecer y Someterse al Dios Todopoderoso.,,,1
2491,Hay que denunciarlos en el Acodeco sobrina,,1,
2492,Dicen que es inteligente el que aprende de sus errores pero es sabio el que aprende de los errores de los demás.,,1,
2493,Por mi que sigan ayudando a la gente... Lo demás queda a discreción de las personas 🤪,,,1
2494,"hahaha, no tenia duda en lo absoluto. viva el guarooo",,1,
2495,"El tema está que no nos gusta discutir con ellas, por lo que nos resulta fácil decir okay baby tienes razón y pasar la página 😂",,,1
2496,Educa al niño y no castigarás al hombre...,,1,
2497,Es enserio... cientos y cientos de carros bajando hacia el interior del país 🤦‍♂️🤦‍♂️🤦‍♂️ deben cerrar divisas y Ocú.,1,,
2498,"Eres un pillín, la pandemia nos abrió los 👀..",1,,
2499,Ese diputado va a llegar LEJOS!!,,,1
2500,Falta el frend pa ir al partido del tauro,,1,
2501,¿Sabes que la wuisniq ya está legalizando este tweet para luego de mandarte no?,,1,
2502,Ruben aqui preguntan y no ponen atencion a la respuesta para seguir preguntando.poco profesionales.,,1,
2503,Verga que lastima lo de #KobeBryant una pena grande,1,,
2504,saludos Osvaldo y excelente presentacion en esta feria. Y por tu atencion amigo mio.,,,1
2505,Todo esto es una pantalla de humo para desviar la atención de los $50k millones en deuda que tendremos.,1,,
2506,Así de cochina es la corrupción.,1,,
2507,Que crueldad lazanrlos en altamar. 😲,1,,
2508,Un audio más real para el video de la Contraloría...,,1,
2509,No sabía necesitaba esto hasta que lo vi.,,1,
2510,Poco de gente reprimida brother 😂,,1,
2511,Eso no es causal de detención tienen que estar seguro de porque van a detener a las personas,1,,
2512," Pfff!! A él y Gaby no le interesan salir de ese hueco, se sienten cómodos ahí porque pueden robar a sus anchas...",1,,
2513,Recuerden que no solo ustedes están en la tierra. Y solo no van a poder deseo hacer una cita con ustedes ya que sus secretarias no dan paso,,1,
2514,"Jajaja, brother Gian es bueno en lo que hace...El hecho que no trabaje en algo normal no quiera decir que es nini...",,1,
2515,Jajajajjaj disque hasta con mascarilla te yede la boca jja que R,,1,
2516,"Bueno, ya sabemos que lo están investigando en 9 fiscalías distintas #justicia",,1,
2517,Panamá Confirma el primer caso de CoronaVirus. Una mujer que llegó ayer de España a Panamá.,1,,
2518,Hahahahaha ey estaban bien pollos 😂😂,,,1
2519,"man lit. hice muchas vainas para olvidarme de el, y no me arrepiento!",,,1
2520,Ya el se pronunció al respecto.,,1,
2521,"man mañana iba pa la playa, cha madre 😭😭😭",1,,
2522,Nuevamente en esto estoy desde ayer POR FAVOR CHUMICAL VERACRUZ HAY UNO SOLO LES HEMOS MANDADO LOS DATOS 5 VECES DESDE AYER Y HOY Y CERO BRIGADAS O CUADRILLAS COMO LES LLAMAMOS AQUI EN PANAMÁ.,1,,
2523,Mitad de un dorito después.,,1,
2524,El chiste se cuenta solo...,,1,
2525,"Sencillo, no lo compres y ya. Los he visto a $1.50 (que está caro también) en los semáforos.",,1,
2526,Este fue uno de los primeros para mi,,1,
2527,Interesting. El internet fue de amarlo a no en un par de meses. Se me hace loquillo.,,1,
